Dates,SP500,Cons Disc,Cons Staples,Energy,Financials,Health,Industrials,Info Tech,Materials,Telecom,Utilities
2/28/1991,-0.001628526,0.005027816,-0.00492924,-0.002583822,0.004619708,-0.009209038,0.002993374,-0.010616,0.002119286,-0.005230064,-0.000903401
3/1/1991,0.009297888,0.013435178,0.006473425,0.002460934,0.023909409,0.005205264,0.010899676,0.012898408,0.011277467,0.005934736,0.002063718
3/4/1991,-0.002751299,0.003293416,-0.004357918,-0.011619414,-0.000803923,0.001414928,-0.003384575,0.000303112,0.004773279,-0.007636864,-0.008930364
3/5/1991,0.019907821,0.02596399,0.02710193,0.010512743,0.020222009,0.017867002,0.019860793,0.034077804,0.0203277,0.011573877,0.00570393
3/6/1991,-0.001422475,0.001600582,-0.003433833,0.00233487,-0.004581729,-0.001621685,-0.00402415,0.001716597,0.004074511,-0.002247823,-0.010264496
3/7/1991,-0.000593296,-0.000436268,-0.001101322,0.005019906,-0.003489851,0.005433853,-0.002227172,0.005300452,-0.010070873,-0.006490781,-0.003008308
3/8/1991,-0.002400505,-0.004373185,-0.000964652,0.000610463,-0.005577259,0.007695438,-0.007272759,-0.0057818,-0.003526822,-0.001416631,-0.005385184
3/11/1991,-0.005033588,-0.008362111,-0.002761289,-0.010675603,-0.002079502,-0.004242396,-0.000983077,-0.023033696,-0.007832745,0.003820309,0.006825069
3/12/1991,-0.007827171,-0.009324422,-0.009445827,0.001109673,-0.008684519,-0.016217198,-0.007333272,-0.016362091,-0.005355562,-0.008082284,0.003264776
3/13/1991,0.012241873,0.013000626,0.014823296,0.010907639,0.01347686,0.008951987,0.01097984,0.022041973,0.010830163,0.011043578,0.006238648
3/14/1991,-0.00283749,-0.006036088,0.001648805,-0.006358544,-0.005913867,0.012651118,-0.005052642,-0.010272216,-0.003843884,-0.00324378,-0.007151711
3/15/1991,0.000238755,0.002948985,0.001371931,0.002695089,-0.003854807,-0.001601281,-0.001830857,-0.009266119,-0.004007427,0.008860194,0.004297161
3/18/1991,-0.00394676,-0.002653695,0.001506953,-0.013052765,-0.000321906,-0.011628707,-0.003954807,0.004464254,-0.016645807,0.007532467,-0.001690617
3/19/1991,-0.014873753,-0.01472255,-0.009766912,0.002723111,-0.016228853,-0.022959893,-0.014109833,-0.060173889,-0.014623261,-0.01160122,-0.004304448
